Scene,Index,Char1Name,Char1Look,Char1Pos,Char1Size,Char2Name,Char2Look,Char2Pos,Char2Size,BG,NameTag,Line_ENG,Line_KR,Auto,Choice1ENG,Choice2ENG,Choice3ENG,Choice1KR,Choice2KR,Choice3KR,Next1,Next2,Next3,SFX,Trigger,Param1,Param2,ID,ParsedLine_ENG,ParsedLine_KOR,C1_ENG,C2_ENG,C3_ENG,C1_KOR,C2_KOR,C3_KOR
1,11,Hans,Normal_Normal,Left,Large,Heilner,Normal_Normal,Right,Medium,riverside,Hans,Aren’t you afraid? Your family and friends will all point fingers at you.,"넌… 두렵지 않아? 네 가족들도, 친구들도 다 손가락질할 텐데.",FALSE,,,,,,,,,,,,,,1011,"""Aren’t you afraid? Your family and friends will all point fingers at you.""","""넌… 두렵지 않아? 네 가족들도, 친구들도 다 손가락질할 텐데.""","""""","""""","""""","""""","""""",""""""
1,12,Hans,Normal_Normal,Left,Medium,Heilner,Normal_Normal,Right,Large,riverside,Heilner,I am. But living by someone else’s will because of fear — isn’t that even scarier?,"두렵지. 하지만 두려움 때문에 남의 뜻대로 사는 건, 그게 더 무서운 일이지 않나?",FALSE,You really… live as your heart leads.,I… I want to live like you.,,넌 참… 네 마음 가는 대로 사는구나.,나도… 나도 너처럼 살고 싶어.,,1013,1022,,,,,,1012,"""I am. But living by someone else’s will because of fear — isn’t that even scarier?""","""두렵지. 하지만 두려움 때문에 남의 뜻대로 사는 건, 그게 더 무서운 일이지 않나?""","""You really… live as your heart leads.""","""I… I want to live like you.""","""""","""넌 참… 네 마음 가는 대로 사는구나.""","""나도… 나도 너처럼 살고 싶어.""",""""""
1,13,Hans,Normal_Normal,Left,Medium,Heilner,Normal_Normal,Right,Large,riverside,Heilner,That’s why I always get scolded. But at least I can breathe.,그래서 늘 혼나지. 그래도 숨은 쉴 수 있잖아.,FALSE,,,,,,,,,,,StatInc,Obedience,2,1013,"""That’s why I always get scolded. But at least I can breathe.""","""그래서 늘 혼나지. 그래도 숨은 쉴 수 있잖아.""","""""","""""","""""","""""","""""",""""""
1,14,Hans,Normal_Normal,Left,Large,Heilner,Normal_Normal,Right,Medium,riverside,Hans,…But then you’ll lose everything.,"…하지만, 그러다간 다 잃고 말 거야.",FALSE,,,,,,,,,,,,,,1014,"""…But then you’ll lose everything.""","""…하지만, 그러다간 다 잃고 말 거야.""","""""","""""","""""","""""","""""",""""""
1,15,Hans,Normal_Normal,Left,Medium,Heilner,Normal_Normal,Right,Large,riverside,Heilner,"No, I won’t. I’m only trying not to lose myself.","아니, 그렇지 않아. 나는 나를 잃지 않으려 애쓸 뿐이야.",FALSE,,,,,,,,,,,,,,1015,"""No, I won’t. I’m only trying not to lose myself.""","""아니, 그렇지 않아. 나는 나를 잃지 않으려 애쓸 뿐이야.""","""""","""""","""""","""""","""""",""""""
1,16,Hans,Normal_Normal,Left,Large,Heilner,Normal_Normal,Right,Medium,riverside,Hans,But...,하지만...,FALSE,,,,,,,,,,,,,,1016,"""But...""","""하지만...""","""""","""""","""""","""""","""""",""""""
1,17,Hans,Normal_Normal,Center,Medium,,,,,riverside,,Hans lowered his head.,한스는 고개를 푹 떨궜다.,FALSE,,,,,,,,,,,,,,1017,"""Hans lowered his head.""","""한스는 고개를 푹 떨궜다.""","""""","""""","""""","""""","""""",""""""
1,18,Hans,Normal_Normal,Center,Medium,,,,,,,"Inside his heart, two wheels kept clashing against each other.",그의 마음속에서는 여전히 두 개의 바퀴가 부딪히고 있었다.,FALSE,,,,,,,,,,,,,,1018,"""Inside his heart, two wheels kept clashing against each other.""","""그의 마음속에서는 여전히 두 개의 바퀴가 부딪히고 있었다.""","""""","""""","""""","""""","""""",""""""
1,19,Hans,Normal_Normal,Center,Medium,,,,,,,"One was righteousness, the other was himself. Between those wheels, he was quietly being crushed.","하나는 ‘옳음’이었고, 다른 하나는 ‘자신’이었다. 그는 그 바퀴들 사이에, 조용히 눌려 있었다.",FALSE,,,,,,,,,,,,,,1019,"""One was righteousness, the other was himself. Between those wheels, he was quietly being crushed.""","""하나는 ‘옳음’이었고, 다른 하나는 ‘자신’이었다. 그는 그 바퀴들 사이에, 조용히 눌려 있었다.""","""""","""""","""""","""""","""""",""""""
1,20,Hans,Normal_Normal,Left,Medium,Heilner,Normal_Normal,Right,Large,riverside,Heilner,You must be afraid. Of course. ,"두렵겠지, 물론. ",FALSE,,,,,,,,,,,,,,1020,"""You must be afraid. Of course. ""","""두렵겠지, 물론. ""","""""","""""","""""","""""","""""",""""""
1,21,Hans,Normal_Normal,Left,Medium,Heilner,Normal_Normal,Right,Large,riverside,Heilner,Go your own way. But please… don’t lose yourself.,너는 너의 길을 가. 그래도… 부디 너를 잃지 마.,FALSE,,,,,,,,,,,JumpIndex,1031,,1021,"""Go your own way. But please… don’t lose yourself.""","""너는 너의 길을 가. 그래도… 부디 너를 잃지 마.""","""""","""""","""""","""""","""""",""""""
1,22,Hans,Normal_Normal,Left,Medium,Heilner,Normal_Normal,Right,Large,riverside,Heilner,Then do it. No one can live your life for you.,그럼 그렇게 해. 아무도 너 대신 살아줄 순 없잖아.,FALSE,,,,,,,,,,,StatInc,Will,2,1022,"""Then do it. No one can live your life for you.""","""그럼 그렇게 해. 아무도 너 대신 살아줄 순 없잖아.""","""""","""""","""""","""""","""""",""""""
1,23,Hans,Normal_Normal,Left,Large,Heilner,Normal_Normal,Right,Medium,riverside,Hans,But I don’t have the courage. Is it really okay for me to leave this road everyone else is taking?,"하지만, 난 용기가 없어. 다들 가고있는 이 길을, 나만 벗어나도 괜찮은 걸까?",FALSE,,,,,,,,,,,,,,1023,"""But I don’t have the courage. Is it really okay for me to leave this road everyone else is taking?""","""하지만, 난 용기가 없어. 다들 가고있는 이 길을, 나만 벗어나도 괜찮은 걸까?""","""""","""""","""""","""""","""""",""""""
1,24,Hans,Normal_Normal,Left,Medium,Heilner,Normal_Normal,Right,Large,riverside,Heilner,That’s your choice. ,그건 너의 선택이야. ,FALSE,,,,,,,,,,,,,,1024,"""That’s your choice. ""","""그건 너의 선택이야. ""","""""","""""","""""","""""","""""",""""""
1,25,Hans,Normal_Normal,Left,Medium,Heilner,Normal_Normal,Right,Large,riverside,Heilner,"You could suffocate and die on that road, or leave it and be eaten by wolves.","저 길 위에서 숨막혀 죽을 수도 있고, 저 길을 벗어나 늑대에게 물려 죽을 수도 있겠지.",FALSE,,,,,,,,,,,,,,1025,"""You could suffocate and die on that road, or leave it and be eaten by wolves.""","""저 길 위에서 숨막혀 죽을 수도 있고, 저 길을 벗어나 늑대에게 물려 죽을 수도 있겠지.""","""""","""""","""""","""""","""""",""""""
1,26,Hans,Normal_Normal,Left,Large,Heilner,Normal_Normal,Right,Medium,riverside,Hans,Aren’t you afraid of the wolves?,너는… 늑대가 두렵지 않아?,FALSE,,,,,,,,,,,,,,1026,"""Aren’t you afraid of the wolves?""","""너는… 늑대가 두렵지 않아?""","""""","""""","""""","""""","""""",""""""
1,27,Hans,Normal_Normal,Left,Medium,Heilner,Normal_Normal,Right,Medium,riverside,Hans,Hans looked at Heilner. There was a strange resolve in his friend’s eyes.,한스는 하일너를 바라보았다. 그의 눈빛은 어딘지 결연해보였다.,FALSE,,,,,,,,,,,,,,1027,"""Hans looked at Heilner. There was a strange resolve in his friend’s eyes.""","""한스는 하일너를 바라보았다. 그의 눈빛은 어딘지 결연해보였다.""","""""","""""","""""","""""","""""",""""""
1,28,Hans,Normal_Normal,Left,Medium,Heilner,Normal_Normal,Right,Large,riverside,Heilner,I’d be lying if I said I wasn’t. ,두렵지 않다면 거짓말이지. ,FALSE,,,,,,,,,,,,,,1028,"""I’d be lying if I said I wasn’t. ""","""두렵지 않다면 거짓말이지. ""","""""","""""","""""","""""","""""",""""""
1,29,Hans,Normal_Normal,Left,Medium,Heilner,Normal_Normal,Right,Large,riverside,Heilner,But dying without even trying to breathe is too miserable. ,"하지만, 숨조차 못 쉬어보고 죽는 건 너무 비참하잖아. ",FALSE,,,,,,,,,,,,,,1029,"""But dying without even trying to breathe is too miserable. ""","""하지만, 숨조차 못 쉬어보고 죽는 건 너무 비참하잖아. ""","""""","""""","""""","""""","""""",""""""
1,30,Hans,Normal_Normal,Left,Medium,Heilner,Normal_Normal,Right,Large,riverside,Heilner,Since we all end up in the same place anyway… I’ll at least leave that road.,어차피 같은 곳을 향한다면… 나는 저 길 만큼은 벗어날래.,FALSE,,,,,,,,,,,JumpIndex,1031,,1030,"""Since we all end up in the same place anyway… I’ll at least leave that road.""","""어차피 같은 곳을 향한다면… 나는 저 길 만큼은 벗어날래.""","""""","""""","""""","""""","""""",""""""
1,31,,,,,,,,,,,"Heilner said that, then walked away from the river.",하일너는 그렇게 말하고는 강가를 떠났다.,FALSE,,,,,,,,,,,,,,1031,"""Heilner said that, then walked away from the river.""","""하일너는 그렇게 말하고는 강가를 떠났다.""","""""","""""","""""","""""","""""",""""""
1,32,,,,,,,,,,,"Hans was left alone, gazing into the water.",한스는 홀로 남아 강을 들여다 봤다.,FALSE,,,,,,,,,,,,,,1032,"""Hans was left alone, gazing into the water.""","""한스는 홀로 남아 강을 들여다 봤다.""","""""","""""","""""","""""","""""",""""""
1,33,Hans,Normal_Normal,Center,Medium,,,,,,,"""Where… am I going?""","""나는… 어디로 가고 있는거지?”",FALSE,,,,,,,,,,,,,,1033,"""""Where… am I going?""""","""""나는… 어디로 가고 있는거지?”""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""","""""","""""","""""","""""","""""",""""""
